准考證號,國文,英文,數學,自然,社會
209,72,42,92,34,84
210,87,33,3,49,75
211,86,47,54,73,80
212,67,84,65,67,80
213,76,60,73,61,77
214,87,99,31,66,76
215,59,100,60,83,92
216,87,78,69,52,83
217,66,54,70,72,78
218,84,100,44,68,97
219,78,57,93,77,87
220,78,71,20,57,76
221,75,83,61,58,90
222,75,68,53,52,72
223,82,65,60,74,87
224,72,55,16,68,79
225,68,75,18,89,90
226,75,82,69,59,85
227,92,8,0,80,92
228,63,76,98,77,78
229,80,63,60,74,81
230,78,46,17,100,90
231,89,21,97,49,85
232,76,58,15,59,59
233,79,60,71,88,86
234,82,92,62,61,88
235,56,59,6,71,84
236,67,23,12,53,76
237,99,100,70,56,74
238,83,54,15,73,64
239,82,63,39,67,100
240,60,60,12,72,83
241,73,72,96,100,80
242,64,91,62,89,87
243,81,78,100,35,96
244,77,87,36,55,89
245,70,19,3,35,80
246,58,36,86,84,73
247,59,100,52,56,73
248,70,53,22,38,74
249,70,73,32,100,74
250,78,52,59,85,76
251,90,57,0,36,89
252,71,28,26,38,67
253,65,92,0,36,90
254,72,100,0,63,84
255,68,91,54,73,83
256,77,44,50,66,86
257,85,14,40,76,75
258,67,98,32,79,83
259,79,16,30,44,100
260,82,100,29,87,73
261,85,48,25,68,80
262,80,57,34,46,85
263,86,57,61,29,92
264,84,83,20,45,79
265,71,100,75,66,85
266,69,100,47,69,93
267,86,31,29,49,75
268,78,94,8,54,84
269,70,72,0,33,85
270,84,58,33,60,84
271,64,41,42,55,87
272,73,60,56,70,86
273,86,36,16,65,61
274,79,56,100,64,92
275,100,78,33,79,75
276,64,62,0,53,87
277,65,97,33,100,91
278,67,56,13,71,80
279,75,52,51,31,80
280,82,74,0,52,76
281,73,77,55,69,82
282,72,50,34,94,85
283,88,10,46,31,74
284,77,22,50,6,72
285,68,28,50,65,77
286,90,47,94,76,76
287,74,56,35,82,69
288,65,53,58,80,72
289,62,84,92,84,92
290,84,79,0,73,66
291,53,58,81,71,93
292,75,99,26,72,83
293,70,98,33,36,69
294,72,75,40,85,82
295,64,72,44,52,86
296,88,49,81,96,83
297,84,66,36,51,90
298,75,69,80,48,81
299,64,87,0,25,65
300,70,10,29,38,81
301,86,69,13,37,90
302,77,55,33,17,75
303,74,51,3,64,83
304,74,83,41,82,78
305,68,72,48,85,75
306,70,69,48,36,84
307,80,84,82,92,91
308,85,74,35,67,81
309,76,65,0,60,77
310,91,54,39,55,81
311,67,49,56,65,76
312,77,74,69,62,89
313,66,58,39,81,76
314,61,46,77,56,83
315,70,100,47,52,91
316,94,97,37,67,79
317,90,60,87,44,73
318,97,100,16,86,64
319,78,57,73,100,69
320,73,84,15,19,73
321,65,58,15,29,89
322,53,44,59,67,83
323,81,92,53,38,82
324,83,89,70,95,83
325,72,84,25,67,79
326,74,30,0,59,77
327,69,40,85,62,90
328,83,51,60,91,88
329,78,43,27,58,75
330,67,54,100,74,75
331,75,100,33,48,75
332,86,62,38,54,83
333,75,62,52,72,75
334,81,44,92,61,81
335,69,58,51,63,77
336,76,23,46,37,77
337,77,48,86,38,74
338,59,16,9,70,79
339,72,47,24,83,97
340,85,14,0,51,92
341,83,50,63,29,80
342,76,59,92,58,80
343,62,100,56,78,73
344,90,78,62,80,90
345,72,54,43,82,76
346,66,85,30,93,80
347,76,38,38,60,70
348,76,75,29,52,60
349,57,100,36,57,77
350,82,56,13,31,76
351,84,49,24,70,77
352,59,59,28,46,75
353,95,22,32,64,62
354,58,68,59,42,75
355,66,43,23,75,83
356,77,52,47,77,79
357,81,54,17,79,81
358,64,91,94,43,87
359,59,28,76,40,81
360,62,46,100,70,74
361,76,35,0,27,90
362,65,78,77,50,75
363,70,23,17,62,75
364,73,61,61,21,100
365,85,69,35,64,80
366,71,76,57,72,95
367,67,59,36,35,79
368,82,79,70,45,85
369,72,71,16,84,85
370,69,93,75,52,86
371,79,37,83,67,92
372,81,62,30,23,87
373,69,90,65,52,87
374,69,90,10,71,71
375,55,39,0,42,79
376,72,50,100,66,100
377,78,53,70,70,86
378,76,51,45,74,73
379,82,61,9,84,80
380,64,69,34,49,72
381,77,81,49,56,77
382,83,71,20,66,85
383,62,100,20,76,74
384,70,95,21,44,72
385,74,100,0,91,77
386,65,61,48,100,75
387,88,30,100,51,85
388,68,62,72,50,69
389,78,88,89,71,81
390,81,78,44,42,90
391,73,85,57,33,70
392,81,32,21,42,79
393,67,24,43,51,76
394,66,77,50,55,74
395,65,53,0,58,70
396,72,12,75,34,72
397,70,72,30,65,73
398,51,28,53,61,69
399,75,74,22,62,76
400,73,44,49,71,82
401,71,100,54,45,73
402,76,58,21,73,67
403,57,48,50,26,75
404,81,1,0,59,67
405,69,98,62,60,84
406,77,55,0,77,66
407,65,78,81,36,65
408,90,98,42,39,87
409,75,40,39,76,72
410,72,74,39,66,69
411,75,35,46,46,79
412,83,76,13,63,85
413,82,50,41,49,60
414,73,73,13,51,82
415,62,56,0,2,76
416,70,72,54,90,76
417,68,73,61,92,86
418,66,18,3,55,90
419,100,43,51,62,74
420,85,71,40,57,82
421,84,60,50,85,90
422,88,51,54,33,85
423,61,64,30,46,69
424,79,29,80,88,70
425,86,88,79,75,72
426,70,40,41,77,85
427,68,65,80,37,88
428,73,40,68,46,71
429,70,78,35,92,70
430,78,74,42,75,80
431,65,62,56,53,61
432,63,74,7,37,67
433,84,61,20,38,80
434,76,34,87,40,79
435,86,67,100,48,80
436,83,100,33,45,69
437,83,74,0,90,77
438,89,100,83,66,70
439,83,100,77,38,74
440,86,99,10,32,82
441,82,66,80,33,82
442,58,57,62,47,74
443,84,65,44,62,75
444,84,100,72,38,76
445,71,52,0,59,74
446,65,79,44,48,76
447,83,77,0,53,92
448,82,65,42,24,70
449,58,49,7,61,82
450,74,100,26,48,74
451,80,64,24,73,86
452,90,80,35,81,90
453,86,66,29,65,77
454,78,98,10,84,85
455,80,58,58,19,97
456,80,80,20,40,73
457,52,57,2,48,69
458,57,56,36,24,86
459,78,63,31,54,86
460,75,35,50,50,81
461,84,62,39,63,82
462,82,38,22,70,75
463,73,100,40,36,60
464,84,100,64,84,80
465,81,66,8,58,87
466,95,83,35,25,79
467,88,51,19,56,78
468,71,100,25,80,64
469,64,30,55,29,75
470,66,82,19,43,73
471,62,82,18,80,88
472,76,47,27,32,80
473,75,57,49,52,79
474,70,90,65,92,76
475,65,33,80,65,89
476,70,99,0,70,87
477,84,80,15,60,73
478,79,23,77,97,87
479,73,89,50,66,85
480,86,100,15,49,75
481,52,54,61,70,76
482,85,92,0,50,93
483,74,36,56,38,94
484,79,35,28,36,79
485,65,48,32,72,79
486,76,52,34,58,70
487,76,66,27,71,70
488,76,80,41,37,73
489,62,40,0,54,76
490,82,79,21,42,71
491,80,56,80,51,86
492,77,81,51,38,79
493,60,59,56,62,72
494,86,45,30,55,75
495,62,85,81,33,67
496,83,49,27,54,78
497,69,87,8,93,67
498,80,66,86,61,86
499,70,52,73,56,61
500,85,48,2,80,94
501,58,21,3,77,81
502,77,49,22,50,94
503,71,75,89,76,86
504,65,92,33,55,75
505,57,33,20,66,77
506,61,100,50,94,72
507,65,95,57,59,68
508,79,38,38,78,81
509,78,33,12,64,70
510,53,97,6,61,74
511,92,90,50,32,83
512,77,86,36,57,82
513,64,34,50,36,84
514,60,52,100,63,81
515,71,87,55,83,74
516,67,59,57,55,81
517,78,98,0,42,68
518,67,62,73,46,72
519,84,100,49,30,82
520,81,100,24,70,72
521,78,42,31,4,74
522,91,54,3,46,85
523,77,33,0,77,68
524,65,65,38,38,77
525,82,57,0,76,63
526,64,39,75,81,73
527,75,72,49,92,89
528,84,45,79,75,83
529,80,65,43,74,67
530,80,40,57,64,61
531,60,69,32,82,79
532,68,86,54,36,74
533,66,61,61,97,81
534,63,72,30,52,72
535,77,76,33,72,71
536,92,82,75,78,83
537,75,24,39,60,86
538,78,81,50,55,87
539,75,77,86,77,65
540,63,21,16,35,83
541,75,85,47,44,72
542,55,100,30,66,62
543,57,33,0,75,58
544,69,66,71,51,76
545,67,82,9,62,85
546,69,64,85,85,80
547,65,66,47,98,74
548,82,49,56,93,78
549,86,23,72,36,85
550,67,60,44,81,79
551,93,53,76,85,93
552,67,77,0,69,84
553,88,19,55,62,69
554,64,66,16,82,76
555,78,76,25,73,85
556,72,91,65,52,80
557,74,75,37,83,88
558,70,32,46,100,75
559,93,100,3,33,82
560,64,80,35,55,72
561,73,39,62,71,86
562,70,47,24,62,77
563,76,76,0,63,73
564,88,23,37,83,77
565,71,75,92,60,85
566,75,51,25,45,81
567,54,53,47,48,79
568,66,50,79,49,69
569,91,64,56,73,89
570,79,26,74,74,83
571,70,88,68,57,79
572,74,100,46,41,97
573,76,52,79,32,87
574,91,59,49,44,68
575,81,56,91,27,89
576,61,31,17,58,88
577,87,44,54,50,84
578,72,76,79,31,67
579,84,76,3,44,71
580,74,100,49,53,91
581,77,24,48,37,79
582,68,60,36,72,77
583,83,46,12,85,72
584,81,53,86,93,74
585,68,48,45,95,80
586,62,77,44,64,86
587,86,20,19,78,69
588,84,41,52,50,82
589,69,79,5,66,69
590,61,78,53,66,84
591,82,41,38,93,76
592,62,45,42,99,98
593,63,51,31,39,91
594,82,10,97,74,78
595,76,83,62,46,82
596,74,44,39,23,86
597,78,34,57,53,75
598,82,95,12,97,89
599,72,77,90,43,74
600,75,100,23,52,72
601,79,53,68,75,60
602,88,79,0,74,89
603,53,83,36,33,81
604,72,82,23,30,84
605,84,98,60,25,93
606,70,51,48,64,91
607,85,85,19,85,67
608,73,54,22,22,90
609,67,61,36,93,72
610,75,69,50,53,94
611,73,2,77,67,80
612,83,84,64,71,77
613,90,74,53,29,100
614,71,73,56,83,55
615,72,71,32,45,81
616,82,99,69,81,87
617,72,47,30,57,92
618,89,68,65,80,74
619,71,36,38,60,78
620,63,99,31,80,86
621,78,63,31,63,76
622,59,69,51,51,71
623,71,0,18,55,91
624,80,70,62,70,74
625,85,100,34,46,64
626,66,34,39,21,73
627,70,42,55,61,85
628,69,92,47,43,69
629,79,49,73,49,74
630,75,75,66,54,85
631,87,70,53,46,96
632,78,68,50,91,83
633,62,54,96,52,79
634,95,11,4,60,77
635,74,27,38,70,97
636,65,73,58,64,69
637,84,40,23,69,77
638,61,90,39,64,86
639,90,32,40,100,83
640,77,56,43,74,86
641,72,100,31,84,75
642,72,54,34,66,87
643,95,62,68,52,83
644,65,52,19,62,88
645,75,47,0,75,74
646,77,77,32,92,87
647,80,32,19,86,96
648,76,66,51,89,76
649,83,73,16,34,86
650,88,65,5,50,73
651,76,100,57,48,72
652,76,64,30,43,89
653,83,73,61,42,70
654,72,64,0,60,87
655,75,47,28,30,73
656,65,71,17,86,72
657,72,73,17,64,83
658,77,100,21,86,85
659,71,100,67,15,63
660,72,96,53,69,81
661,64,65,49,80,79
662,75,39,32,84,85
663,74,38,58,35,67
664,74,88,14,35,84
665,81,100,40,51,69
666,98,41,62,17,94
667,74,59,100,40,80
668,88,46,28,82,77
669,74,68,27,44,87
670,66,81,56,21,70
671,84,66,67,75,79
672,80,83,49,58,95
673,80,64,64,31,77
674,78,61,66,82,82
675,81,59,11,33,62
676,73,62,91,60,90
677,90,78,11,82,90
678,83,49,38,100,76
679,71,61,36,46,80
680,88,72,20,65,87
681,62,62,67,17,87
682,59,59,25,70,95
683,79,36,80,51,82
684,86,99,5,59,87
685,79,72,2,47,82
686,71,49,24,82,75
687,75,59,20,66,86
688,79,100,46,32,75
689,66,98,48,53,79
690,71,82,35,80,91
691,68,54,34,35,69
692,79,58,0,78,72
693,88,43,23,75,84
694,74,51,15,83,81
695,82,91,16,61,69
696,79,78,79,100,75
697,85,100,55,98,85
698,85,82,82,71,91
699,68,90,32,85,80
700,74,47,48,12,74
701,69,69,79,44,62
702,84,74,36,35,81
703,71,56,36,28,88
704,84,54,0,90,63
705,76,48,32,49,81
706,88,61,44,52,80
707,83,6,37,87,82
708,78,67,23,97,80
709,68,39,61,100,89
710,76,33,24,82,77
711,90,69,51,64,72
712,66,73,7,36,79
713,77,45,0,81,78
714,80,94,0,55,79
715,81,58,0,77,74
716,90,44,63,67,92
717,89,38,33,73,80
718,83,78,67,48,84
719,72,64,3,42,83
720,85,40,76,65,88
721,58,9,83,41,83
722,90,57,24,47,86
723,70,72,29,62,82
724,87,53,74,72,79
725,72,62,45,59,93
726,72,51,79,61,83
727,70,32,14,65,80
728,79,37,28,47,77
729,86,85,33,52,66
730,76,78,52,44,74
731,60,74,27,74,81
732,56,91,61,56,73
733,79,79,60,81,95
734,74,51,63,94,83
735,87,66,25,56,83
736,76,53,5,62,64
737,65,73,54,65,76
738,85,62,87,28,80
739,95,57,13,37,85
740,84,93,43,60,73
741,61,53,56,42,95
742,92,68,75,41,86
743,75,45,45,50,80
744,69,73,7,48,93
745,71,68,80,72,82
746,81,100,45,44,74
747,74,34,0,89,85
748,86,92,17,56,88
749,80,99,0,18,64
750,72,80,57,39,75
751,68,60,16,72,91
752,67,80,23,58,89
753,60,47,39,33,74
754,64,40,61,36,71
755,89,20,5,100,84
756,72,39,100,38,74
757,75,86,12,78,84
758,74,77,31,68,61
759,70,65,56,63,74
760,77,71,59,71,81
761,72,83,69,56,73
762,79,36,32,17,66
763,66,31,11,76,63
764,62,51,62,88,91
765,71,84,31,88,92
766,61,72,19,72,85
767,49,100,14,44,67
768,76,66,2,69,77
769,76,67,35,31,76
770,65,48,40,65,79
771,86,22,71,55,82
772,75,75,49,61,79
773,84,100,39,48,80
774,95,40,0,58,70
775,88,39,66,100,80
776,90,55,58,8,77
777,78,59,60,46,83
778,69,36,14,45,80
779,68,31,61,55,86
780,80,100,51,38,71
781,69,81,42,96,79
782,58,41,6,38,70
783,73,62,11,46,83
784,76,65,34,45,76
785,73,94,67,93,72
786,68,31,58,41,86
787,73,100,54,82,74
788,84,90,21,55,74
789,85,71,19,55,91
790,69,68,61,43,78
791,65,48,58,81,72
792,78,67,54,76,73
793,68,64,63,66,76
794,80,78,44,82,78
795,66,87,0,47,77
796,69,74,5,97,86
797,60,59,54,51,81
798,77,71,40,80,68
799,77,73,67,77,70
800,84,67,41,100,67
801,86,62,20,91,79
802,67,66,48,58,80
803,75,94,31,24,76
804,71,92,58,60,73
805,59,88,29,79,76
806,69,67,56,77,76
807,74,54,8,71,71
808,100,87,56,90,91
809,85,100,40,68,81
810,83,100,72,38,74
811,59,19,36,46,86
812,68,70,5,63,86
813,81,63,72,74,77
814,85,100,56,62,83
815,73,100,38,44,77
816,76,0,65,83,91
817,69,32,60,43,88
818,76,37,19,74,81
819,59,33,43,40,78
820,85,79,37,47,76
821,74,53,31,77,76
822,68,73,38,28,84
823,57,56,82,52,80
824,78,57,17,70,87
825,90,72,39,87,74
826,58,50,63,10,84
827,66,93,32,96,81
828,76,90,56,48,79
829,85,74,23,36,79
830,81,23,27,67,78
831,77,68,50,78,74
832,69,97,6,64,81
833,75,76,26,100,68
834,81,38,79,53,93
835,68,70,98,68,74
836,87,69,50,69,67
837,82,69,69,88,78
838,84,66,60,61,77
839,75,11,50,57,77
840,88,48,64,71,77
841,78,38,20,68,70
842,95,82,44,81,84
843,61,8,38,54,69
844,64,100,15,67,65
845,74,32,31,64,80
846,69,37,0,80,89
847,87,58,64,36,81
848,56,83,13,80,79
849,70,85,19,77,80
850,95,74,61,61,82
851,58,87,9,41,87
852,66,63,92,81,79
853,79,82,58,72,87
854,81,35,44,56,79
855,82,27,27,73,71
856,73,58,56,45,73
857,79,55,33,30,75
858,70,20,17,41,84
859,83,32,34,50,86
860,63,71,19,78,70
861,68,94,45,84,83
862,84,68,10,66,79
863,62,90,31,71,73
864,88,98,60,73,83
865,72,98,26,60,83
866,79,37,55,53,83
867,59,42,43,60,77
868,86,90,51,44,76
869,85,48,21,30,87
870,95,52,31,85,76
871,67,60,90,76,87
872,65,47,65,67,88
873,76,62,24,50,76
874,87,60,87,82,78
875,89,26,56,42,79
876,68,48,40,26,84
877,72,57,56,48,82
878,80,100,8,64,75
879,65,45,8,67,82
880,74,34,17,50,81
881,75,34,26,71,76
882,77,75,38,51,76
883,79,58,31,55,70
884,74,60,24,87,77
885,52,89,28,68,97
886,47,59,0,51,73
887,60,76,16,88,90
888,60,63,61,91,72
889,87,23,34,47,63
890,66,30,35,65,74
891,56,44,57,44,66
892,66,66,30,85,69
893,92,57,13,46,78
894,82,43,82,61,84
895,76,72,43,70,89
896,69,52,23,75,88
897,62,35,0,46,70
898,74,70,54,58,61
899,54,44,40,38,79
900,80,36,19,72,82
901,88,64,50,61,80
902,83,30,39,75,74
903,71,100,20,69,73
904,67,38,18,53,72
905,83,43,54,36,76
906,72,47,51,85,81
907,67,88,3,42,90
908,65,40,47,47,85
909,58,87,40,88,84
910,76,26,5,50,79
911,62,51,11,92,81
912,75,37,30,89,85
913,46,97,67,37,67
914,77,79,87,29,75
915,69,77,9,43,83
916,64,97,31,84,82
917,87,25,43,57,94
918,89,68,29,70,64
919,72,70,63,57,75
920,77,77,30,72,72
921,90,93,75,60,79
922,87,42,34,54,76
923,77,42,21,99,75
924,72,70,89,54,67
925,59,46,57,24,72
926,66,66,82,48,94
927,84,82,56,60,75
928,83,53,0,79,62
929,70,71,0,72,83
930,81,95,11,55,73
931,80,35,29,58,73
932,73,65,12,67,78
933,71,47,17,65,79
934,83,46,0,78,71
935,72,33,10,36,69
936,81,47,15,72,86
937,71,45,48,68,71
938,69,57,26,35,69
939,76,65,25,32,80
940,77,41,12,85,91
941,64,67,47,69,83
942,70,50,40,45,82
943,48,60,46,18,65
944,75,90,28,74,69
945,84,40,11,65,82
946,83,89,46,49,81
947,67,79,14,100,75
948,87,84,66,45,78
949,83,88,22,87,87
950,68,39,24,88,91
951,64,44,32,68,75
952,74,85,78,81,81
953,77,47,39,100,88
954,80,87,89,93,84
955,89,75,33,57,82
956,61,44,6,75,81
957,77,68,82,68,82
958,99,44,45,67,76
959,87,80,23,22,100
960,77,52,36,38,84
961,67,61,48,63,70
962,75,77,75,73,63
963,78,71,2,52,87
964,84,43,15,51,75
965,46,19,27,75,78
966,64,59,28,50,81
967,73,50,56,60,80
968,81,58,89,15,85
969,67,61,72,55,85
970,61,15,40,48,76
971,77,81,22,83,75
972,61,96,58,70,86
973,85,83,42,75,73
974,68,25,36,39,76
975,76,87,47,46,80
976,80,64,74,100,68
977,76,91,45,65,83
978,66,58,0,47,69
979,76,55,23,50,74
980,71,100,62,38,73
981,69,55,20,53,80
982,72,47,28,53,78
983,79,86,63,42,80
984,77,77,55,65,76
985,70,12,99,57,73
986,69,87,45,75,78
987,80,77,37,56,66
988,68,63,45,86,76
989,64,85,66,26,76
990,68,68,52,55,78
991,70,62,68,63,88
992,57,73,0,63,85
993,66,65,46,50,82
994,100,37,51,61,73
995,73,31,23,58,68
996,62,77,21,78,85
997,75,29,0,26,77
998,73,90,54,100,82
999,94,47,55,100,98
1000,80,70,100,19,79
1001,73,54,66,58,72
1002,74,51,92,62,89
1003,76,47,31,61,74
1004,84,59,80,38,80
1005,54,95,100,81,78
1006,88,72,100,62,78
1007,80,24,36,12,69
1008,62,57,59,64,96
1009,84,51,35,51,83
1010,59,57,39,45,80
1011,82,29,58,53,87
1012,80,56,46,64,79
1013,84,50,16,31,72
1014,77,50,8,43,75
1015,61,67,0,35,89
1016,80,58,36,48,69
1017,70,95,38,64,67
1018,66,54,85,59,76
1019,71,86,41,99,83
1020,73,81,66,31,72
1021,69,100,44,54,89
1022,90,79,91,60,73
1023,64,10,29,39,72
1024,77,89,0,66,63
1025,55,76,9,31,80
1026,84,67,79,26,78
1027,71,25,61,75,75
1028,72,67,42,47,77
1029,71,67,44,69,73
1030,86,79,5,65,65
1031,92,100,21,47,86
1032,85,50,48,82,85
1033,66,31,58,43,84
1034,85,53,32,63,74
1035,88,80,53,82,77
1036,71,56,100,65,72
1037,89,69,17,28,79
1038,70,37,31,52,76
1039,62,30,69,92,77
1040,75,76,31,68,85
1041,77,100,11,49,83
1042,82,55,36,69,84
1043,82,94,83,33,72
1044,93,59,22,36,79
1045,78,62,36,66,77
1046,85,88,0,54,70
1047,75,33,39,62,65
1048,67,32,48,60,74
1049,74,93,27,67,92
1050,78,66,11,53,56
1051,81,63,56,44,81
1052,69,78,35,69,73
1053,75,74,23,55,66
1054,75,82,75,64,87
1055,92,100,21,59,79
1056,63,42,79,100,84
1057,87,60,5,54,86
1058,74,95,19,57,66
1059,87,95,37,82,74
1060,62,50,42,73,64
1061,55,96,100,69,76
1062,83,44,41,14,77
1063,66,100,100,29,80
1064,78,65,47,39,82
1065,95,80,6,51,72
1066,75,46,12,54,76
1067,62,100,71,66,72
1068,82,59,26,81,74
1069,74,14,61,42,75
1070,62,46,45,76,75
1071,84,81,49,30,91
1072,86,40,28,34,75
1073,68,38,51,77,87
1074,78,75,37,68,62
1075,94,49,28,85,94
1076,82,70,73,61,81
1077,69,61,72,26,72
1078,57,84,0,30,72
1079,77,59,24,48,84
1080,74,48,35,60,72
1081,62,80,38,80,77
1082,85,59,46,37,84
1083,80,68,53,45,79
1084,66,72,35,1,69
1085,84,97,29,56,74
1086,74,53,71,63,72
1087,62,31,42,62,80
1088,61,90,2,59,71
1089,91,84,81,51,78
1090,45,30,39,66,89
1091,76,28,48,46,82
1092,82,53,35,23,78
1093,69,70,40,27,77
1094,67,46,59,47,81
1095,80,70,41,77,81
1096,76,76,61,39,85
1097,76,51,26,48,89
1098,100,31,89,83,77
1099,78,54,43,53,78
1100,60,50,53,72,88
1101,59,72,55,50,88
1102,69,82,9,43,91
1103,60,55,62,43,83
1104,82,98,56,100,76
1105,72,45,22,56,81
1106,85,59,49,85,63
1107,66,35,27,66,88
1108,70,91,46,92,79
1109,89,65,70,17,91
1110,96,56,11,64,81
1111,68,74,0,76,75
1112,67,59,30,67,74
1113,70,75,26,45,68
1114,78,87,35,35,76
1115,76,50,17,22,71
1116,78,56,10,67,72
1117,65,89,23,69,89
1118,97,34,53,68,81
1119,74,65,49,41,73
1120,94,58,58,67,72
1121,74,34,31,68,83
1122,79,73,0,89,89
1123,74,28,0,75,84
1124,74,65,28,83,83
1125,76,0,0,87,87
1126,80,97,27,71,70
1127,81,32,52,66,87
1128,95,17,19,93,71
1129,72,61,57,71,85
1130,74,34,52,48,83
1131,79,56,38,64,86
1132,74,15,42,35,79
1133,83,62,27,59,82
1134,80,62,42,76,86
1135,79,36,52,56,73
1136,74,100,8,9,90
1137,59,73,63,41,92
1138,79,56,31,39,78
1139,73,80,100,52,81
1140,88,82,44,20,73
1141,68,53,63,61,77
1142,78,53,37,46,72
1143,82,56,94,76,77
1144,69,50,49,60,87
1145,74,100,50,10,60
1146,78,60,51,40,98
1147,82,78,35,36,73
1148,91,22,34,39,80
1149,80,75,71,80,88
1150,92,70,33,77,75
