准考證號,國文,英文,數學
5135,72,95,44
2412,83,53,30
4509,63,66,53
1223,78,100,50
6611,82,100,87
1594,78,48,25
8858,53,47,31
2996,73,58,86
1166,86,64,29
21,76,66,28
5353,54,70,65
9996,63,60,68
9199,71,46,27
2090,66,69,92
2402,76,17,5
4166,66,78,66
3341,80,40,16
7894,71,56,50
766,61,72,19
6376,79,80,64
6020,77,45,31
346,66,85,30
1769,98,77,4
8001,72,63,5
7062,75,38,34
3575,73,61,0
5826,61,54,0
3442,75,6,20
4141,77,45,100
3944,54,29,63
1379,75,57,13
9418,97,98,43
5719,67,53,53
4354,69,47,14
2697,88,60,57
7684,90,87,55
5092,69,79,59
7748,75,32,89
1660,68,54,24
7231,73,20,46
587,86,20,19
349,57,100,36
6493,75,100,75
3620,68,95,91
3087,81,70,62
9870,81,66,10
4321,72,14,23
7959,85,53,55
1645,67,47,31
1545,100,75,0
6968,75,67,7
7377,74,100,26
6900,85,71,24
9525,80,80,0
7468,84,70,44
8794,79,46,67
920,77,77,30
7704,69,70,0
504,65,92,33
3536,78,51,13
1711,73,48,49
5434,66,100,13
5742,73,86,0
5910,75,46,13
4584,74,54,0
5558,84,89,79
7857,57,50,47
5811,81,28,39
3258,62,51,48
9436,62,100,58
1389,59,62,88
3968,77,50,33
2965,68,89,47
7235,77,75,0
7055,81,32,60
1518,79,58,0
3223,85,53,8
1480,69,47,33
5136,83,94,31
3481,74,71,79
1643,83,37,29
951,64,44,32
1103,60,55,62
3205,70,78,77
8115,63,72,38
1970,84,40,61
872,65,47,65
2211,64,79,9
4596,85,69,14
1047,75,33,39
1926,87,93,18
6919,69,100,47
2148,66,81,58
5262,62,67,70
5880,63,89,1
5390,75,100,70
7334,80,66,60
7390,79,12,96
5649,61,67,46
2762,73,63,22
7018,77,79,63
2354,57,43,6
414,73,73,13
1161,99,58,64
3434,64,30,5
4985,85,56,10
5060,88,100,100
6437,75,97,7
3415,75,39,27
6317,91,48,19
6266,76,75,0
4210,80,77,44
9581,94,35,42
8943,75,80,100
6349,74,30,37
6300,74,62,18
6913,51,58,35
9137,49,38,51
8424,72,29,35
8246,76,44,37
6263,89,90,12
5915,79,100,66
7385,78,43,0
9042,72,61,39
6262,86,66,71
3281,84,100,41
5268,84,9,52
7866,65,74,34
7329,73,51,98
1088,61,90,2
1905,87,50,56
5086,76,16,59
7877,64,83,9
6893,76,61,14
8964,100,61,51
1633,72,63,38
743,75,45,45
8232,72,88,87
2504,65,59,62
2058,74,70,27
2824,69,57,23
962,75,77,75
1704,96,62,0
9878,88,64,48
7691,90,49,35
6909,79,56,5
9339,84,85,95
1433,79,84,58
3339,82,43,45
7073,88,32,60
7287,58,100,100
4928,66,51,56
904,67,38,18
4800,80,82,27
9100,57,59,41
1118,97,34,53
9630,68,70,72
8278,90,61,36
7003,79,36,30
9419,73,79,39
9518,72,79,24
2461,72,75,60
8533,74,79,0
6926,73,36,76
5117,79,74,6
714,80,94,0
443,84,65,44
5876,64,84,19
8682,60,52,39
3694,86,100,68
3208,76,92,100
2364,73,94,0
814,85,100,56
103,87,73,29
2142,68,100,4
3180,77,30,100
4992,80,62,79
9206,82,47,96
6301,75,72,74
4753,62,32,0
4824,72,61,0
1922,89,100,52
5537,70,100,14
3917,77,80,8
6416,80,71,29
471,62,82,18
595,76,83,62
8699,66,36,57
2789,77,100,54
4679,55,69,45
7286,92,48,55
8633,67,53,10
7310,62,76,52
9901,72,51,25
1630,73,93,69
9062,77,27,24
1431,93,84,24
35,68,95,63
484,79,35,28
6605,75,66,29
8664,78,97,38
5162,93,86,19
9427,83,67,32
7222,89,67,0
7166,85,57,58
7623,79,48,39
2623,75,36,0
7065,85,80,69
93,55,55,73
2289,59,63,64
5116,66,55,90
2050,80,42,0
2476,81,40,36
8467,90,98,0
6729,71,52,17
8812,88,27,52
5855,90,21,39
4836,82,53,39
8872,95,59,39
129,68,100,40
2455,71,54,25
5369,89,66,58
4047,69,53,2
1262,79,56,28
115,65,96,3
2602,70,75,44
6449,65,52,84
704,84,54,0
5485,83,100,59
4221,69,55,61
776,90,55,58
9445,75,63,12
3514,74,80,33
5202,89,89,26
3091,73,54,23
6594,82,85,100
5120,83,22,20
8388,62,78,34
70,78,71,0
4910,81,53,25
6400,66,86,55
1800,82,77,69
3435,87,60,100
6690,66,36,26
7716,73,56,100
9641,76,66,45
2707,69,58,56
7124,77,61,47
1123,74,28,0
1934,73,26,64
2806,86,46,20
6981,100,46,0
3678,68,74,29
3813,80,55,49
6239,59,58,26
9836,79,84,47
806,69,67,56
5518,77,78,55
1508,74,0,28
2047,69,9,24
1231,63,27,71
8338,69,87,35
5301,72,68,73
2109,60,86,70
4294,75,100,92
9780,67,66,83
4581,68,83,28
2991,77,49,65
4362,70,81,94
5265,61,73,48
8737,79,63,0
8716,80,94,6
4291,70,64,14
1580,58,55,51
6197,72,39,57
9608,63,99,48
3954,66,37,22
6405,67,57,69
6434,85,78,0
2734,67,9,48
4902,87,78,0
1806,76,38,35
6360,60,63,26
7453,88,95,45
9095,84,65,20
7119,79,100,29
2119,61,55,24
7525,82,94,0
2179,65,73,100
6184,78,99,54
8052,72,58,0
4822,63,100,61
1236,70,83,41
1690,65,25,41
1981,75,59,57
10000,67,72,42
2678,73,53,21
503,71,75,89
5250,72,54,31
9196,82,11,13
3283,88,73,63
9759,90,76,54
8233,78,56,52
6428,70,73,0
9509,79,45,45
4746,67,100,33
6036,80,50,55
8788,60,91,24
4799,63,49,45
5050,78,48,95
3455,80,68,20
7196,82,91,16
2360,70,57,7
5037,78,33,56
6016,72,19,44
495,62,85,81
5118,73,50,59
2067,84,71,71
2123,72,98,55
7348,84,62,37
4338,87,32,59
5488,75,46,39
5964,74,100,0
5613,66,80,38
1278,84,100,10
27,87,100,0
1086,74,53,71
9762,75,56,0
3932,70,43,84
4825,86,22,5
2760,72,100,1
1617,68,60,43
9264,63,76,79
7745,70,80,53
1119,74,65,49
6295,65,100,11
6442,58,95,68
886,47,59,0
1419,98,98,74
8497,86,46,47
7084,74,29,21
4792,76,89,46
2281,71,88,8
1033,66,31,58
8160,67,34,42
3356,68,33,36
30,73,55,75
511,92,90,50
4644,64,81,10
3627,73,81,64
2866,60,93,76
5334,69,45,21
4974,63,76,84
7518,74,72,12
2619,61,76,14
5027,81,50,56
1400,63,58,11
5292,58,42,9
5230,78,73,30
9520,77,57,52
7125,74,61,18
1004,84,59,80
5877,87,75,12
8608,71,53,69
7594,78,89,67
3728,73,71,28
1071,84,81,49
8484,78,82,33
7347,78,48,17
6817,86,52,57
7116,83,36,41
5090,76,95,43
7613,66,100,36
80,66,60,68
5655,77,86,41
9194,78,83,94
6921,79,70,36
8837,83,66,48
9725,75,39,42
5384,73,39,12
8188,78,24,60
9472,78,88,0
2857,55,39,18
6859,63,25,28
7379,73,99,27
3398,84,83,59
7782,66,68,78
8362,85,62,17
856,73,58,56
5391,66,65,62
5544,94,46,55
4725,54,64,39
3871,71,54,55
738,85,62,87
1232,79,52,0
4649,83,39,44
6436,84,0,35
3989,93,69,40
833,75,76,26
4265,66,69,48
8135,83,56,0
8236,67,15,0
136,71,82,44
6012,73,43,50
2534,67,100,0
6558,49,42,24
7384,83,31,29
8346,81,51,28
7545,73,77,23
9444,73,60,21
2600,69,42,59
9186,75,99,0
3446,93,49,33
7744,91,68,86
4386,83,57,6
9810,78,76,57
9742,70,72,54
7180,84,53,43
1390,79,58,72
731,60,74,27
6773,59,96,19
2934,75,29,25
5578,75,80,60
9041,72,64,19
3855,75,59,65
3539,71,75,47
2446,74,9,8
7138,58,90,44
9481,67,48,45
9124,60,84,10
2420,99,24,24
9493,88,14,40
565,71,75,92
2778,71,74,22
1202,79,83,32
3836,78,54,45
4351,86,13,81
1602,72,96,59
425,86,88,79
1016,80,58,36
790,69,68,61
6649,78,81,44
4172,90,64,22
2978,71,100,27
6651,78,35,18
381,77,81,49
8780,76,75,43
1432,87,100,23
4180,60,29,54
2599,82,71,5
4720,63,77,52
1233,75,36,52
5974,77,92,88
5831,94,65,39
8980,82,59,36
5042,78,100,37
5647,68,30,0
6359,59,63,9
1259,87,91,84
6766,74,81,18
7803,82,100,76
5023,80,87,8
3603,56,78,57
9720,85,21,55
7094,81,55,43
8259,69,98,10
1491,83,48,23
5497,92,64,0
3032,72,98,40
8939,72,74,33
4711,64,63,100
9304,78,87,13
9183,67,77,34
3916,62,5,60
2765,83,72,46
5650,98,62,54
9694,70,71,23
7,88,43,49
3251,63,94,43
5409,74,17,0
9072,62,73,9
9680,71,100,4
8498,92,46,48
5987,66,73,43
2136,61,30,0
5158,76,56,59
3751,78,42,36
8167,68,32,14
12,85,77,87
7686,90,98,1
9389,66,30,36
2391,61,61,25
8334,63,1,0
8319,64,54,8
3433,65,31,3
5752,82,50,0
4429,69,66,0
5438,64,100,2
4637,76,55,63
7230,77,60,42
123,71,72,17
2865,60,44,32
3424,79,60,64
4531,80,72,56
8029,75,80,33
7965,74,57,79
2832,66,63,41
7893,71,38,48
7004,64,63,51
7411,86,79,100
9971,89,85,51
6886,75,50,47
640,77,56,43
3924,79,40,57
7413,52,48,19
4668,71,56,42
830,81,23,27
3906,71,71,41
9244,83,75,53
745,71,68,80
8681,68,66,92
7606,81,78,13
6565,81,50,28
5773,77,55,69
634,95,11,4
3329,88,100,46
6316,79,71,80
5296,58,79,0
9293,72,50,3
7342,65,69,31
2714,84,72,87
9376,63,98,60
5851,91,46,0
642,72,54,34
8457,50,7,79
8469,67,67,63
8823,86,54,53
1820,73,31,39
2205,80,81,36
7983,79,27,55
7060,73,83,87
7285,66,58,43
8883,63,88,63
8976,61,60,53
3515,85,84,52
8199,79,59,32
1276,87,78,49
1074,78,75,37
7587,74,59,6
3800,66,77,0
1321,86,50,9
3785,59,66,80
4988,72,78,41
150,80,74,0
9748,69,60,0
9473,70,63,33
5169,77,100,4
9212,61,23,9
4884,76,71,62
3884,76,66,11
8449,67,62,45
7883,76,87,27
9717,80,52,67
2336,76,54,84
1127,81,32,52
865,72,98,26
8596,46,72,100
404,81,1,0
1053,75,74,23
5763,75,81,49
5001,66,59,0
2903,69,58,0
4405,83,64,24
1326,75,59,47
2206,52,100,7
6737,66,100,51
4565,73,41,13
6824,73,77,22
1507,78,70,16
1583,63,51,49
2125,82,96,74
7486,90,5,86
7394,84,72,53
9975,66,55,0
8650,72,33,42
8973,72,99,21
1209,65,63,20
5417,70,61,70
3643,50,91,7
1082,85,59,46
152,69,52,27
2454,85,46,41
1799,53,54,2
1176,84,82,73
8064,66,56,34
1744,73,99,40
4560,60,78,37
428,73,40,68
9156,67,68,83
8637,74,63,52
9394,62,56,17
6297,66,50,62
9289,70,98,59
4771,63,67,42
4440,80,100,12
25,100,81,62
2948,66,45,32
39,69,55,22
2500,71,52,74
4849,87,94,55
9271,73,74,59
3646,82,77,68
5604,72,66,60
3181,76,64,100
4065,84,59,35
8187,61,57,80
8171,74,46,39
1974,81,51,56
1919,80,91,26
928,83,53,0
6717,80,74,60
7538,64,48,0
2198,62,90,27
8900,88,77,0
2202,84,76,44
2366,77,72,23
6701,62,64,75
5746,76,54,0
5691,73,15,73
5973,64,74,48
6767,68,34,50
5128,67,45,18
8225,73,57,42
3296,64,45,26
3660,92,96,29
6888,78,66,50
1780,84,63,60
8019,82,79,0
746,81,100,45
6657,82,28,65
855,82,27,27
1627,53,91,0
7249,86,100,71
8528,89,12,36
1915,80,87,100
8991,89,54,39
9,60,0,100
8536,62,68,71
7437,84,74,29
9152,78,76,23
663,74,38,58
7197,68,86,34
3499,82,63,26
9814,72,68,65
4551,75,57,39
7643,80,63,33
253,65,92,0
2331,78,77,0
9316,75,88,95
3472,92,74,0
5807,73,71,46
5415,74,76,47
8636,75,94,74
520,81,100,24
3480,81,34,25
6387,80,59,42
1309,69,100,84
424,79,29,80
2007,78,54,14
8504,76,69,40
3880,74,82,48
7432,79,63,41
1477,72,39,28
2578,70,39,10
3182,76,47,32
8822,64,68,56
2135,81,63,39
1319,84,85,34
7925,69,42,19
6669,75,47,59
2117,79,42,13
4284,73,63,41
9571,70,62,0
8276,79,0,45
225,68,75,18
7451,80,83,66
5399,71,62,18
598,82,95,12
7630,69,39,19
755,89,20,5
382,83,71,20
3789,76,67,20
7376,80,51,45
4603,71,69,22
2685,64,71,4
1937,82,51,49
9875,64,61,6
5206,77,54,81
2548,96,79,59
6123,75,76,30
630,75,75,66
2105,81,79,45
1756,75,70,28
977,76,91,45
7556,76,61,73
5284,84,56,32
5260,63,83,0
6307,87,64,20
9817,75,88,31
8796,66,100,62
3942,83,76,21
4187,67,72,40
9541,85,33,46
9853,79,54,48
5461,76,100,32
8175,63,92,62
4173,95,100,1
9768,77,87,30
1909,60,39,50
1427,75,56,49
4613,85,48,27
9907,77,67,20
247,59,100,52
2841,74,53,22
1425,74,82,43
9259,80,100,91
8435,81,23,80
6073,71,51,10
3098,88,64,16
4808,72,92,0
6783,91,71,42
1592,84,65,12
6075,60,79,64
2608,81,94,30
9254,71,11,2
8105,69,81,35
9273,81,32,10
1640,76,100,32
1290,58,98,28
187,76,87,68
2751,74,43,60
3596,87,61,49
5283,67,23,13
2975,73,7,72
1930,78,40,0
4519,56,72,29
6959,100,70,74
525,82,57,0
292,75,99,26
4131,81,96,23
9739,56,9,22
7868,63,51,25
4371,76,77,46
3566,84,89,34
4757,70,71,0
6426,77,31,35
8262,93,74,11
3173,87,96,48
6088,94,76,24
4623,69,26,86
8002,81,72,44
9268,83,51,44
410,72,74,39
9281,68,57,95
5124,65,63,65
2189,78,65,19
4200,77,80,0
8272,100,62,8
2987,66,35,41
5642,93,49,39
3159,86,95,77
5040,45,83,56
583,83,46,12
753,60,47,39
1134,80,62,42
6201,78,52,11
9945,72,80,46
467,88,51,19
1035,88,80,53
8453,76,85,42
9873,86,56,18
5771,80,42,17
4410,61,82,31
1579,74,60,12
2370,75,92,46
9096,86,13,23
3511,73,36,24
6097,75,20,15
4,86,53,53
3833,76,92,9
1975,72,44,17
6425,67,78,50
366,71,76,57
1015,61,67,0
8291,75,65,37
4331,57,74,66
4395,69,72,65
212,67,84,65
6677,80,38,73
6801,71,45,55
9657,96,76,75
1978,60,60,37
691,68,54,34
9589,85,65,22
5845,74,74,100
7898,82,63,79
6413,76,68,61
3695,100,61,37
4189,89,100,8
2630,90,42,36
4073,85,75,49
7976,60,52,68
8585,69,68,0
3221,66,69,0
7185,68,72,24
1733,68,70,2
2511,94,62,35
1519,71,28,74
2266,89,92,83
8709,55,69,70
2200,86,74,73
5066,86,87,18
3200,88,83,58
3377,63,100,71
7295,74,56,74
1573,77,51,47
3034,78,42,0
433,84,61,20
3006,93,75,34
7698,95,42,33
9794,71,98,88
33,81,33,76
3035,80,56,36
4165,86,62,0
5473,81,69,29
3830,80,54,31
8817,90,100,40
7407,71,64,58
8523,86,80,23
266,69,100,47
2872,74,36,100
1681,83,65,25
700,74,47,48
8366,64,27,25
4950,70,47,27
7345,74,61,38
1852,70,46,17
4153,69,60,47
8913,83,81,34
9015,69,80,94
4608,80,70,32
5715,79,72,66
8058,73,49,71
3311,54,77,8
914,77,79,87
1873,79,77,45
4724,65,40,22
3361,72,36,37
6609,63,52,22
9189,81,79,80
8230,72,26,44
3682,59,60,56
4041,55,61,26
2620,58,100,34
6950,69,66,2
1597,71,79,4
8419,63,80,32
7023,79,84,0
5879,69,94,30
1208,74,92,3
6299,76,48,0
8224,89,66,7
712,66,73,7
9433,62,18,100
8691,81,33,29
5743,78,74,32
7553,63,48,46
7727,67,52,19
6334,71,49,51
2628,65,100,17
8937,61,97,82
802,67,66,48
2879,83,75,26
1114,78,87,35
8325,73,81,29
2032,75,29,99
3489,72,39,6
2357,92,40,71
1893,85,49,23
5610,71,32,19
4336,83,53,31
3385,52,74,26
7002,80,33,17
6126,70,81,36
660,72,96,53
4368,59,58,45
9173,71,91,0
5161,79,46,35
274,79,56,100
9719,63,62,0
4533,79,46,40
6751,67,98,85
1787,71,44,0
4030,89,67,34
924,72,70,89
9440,76,100,90
9881,70,82,70
5300,73,60,68
202,76,42,93
8478,93,39,71
6679,63,76,53
1238,75,20,33
2233,80,46,67
3092,81,86,71
2735,73,55,49
8527,65,49,35
6572,60,100,67
817,69,32,60
7993,77,53,42
5596,59,82,55
9512,84,41,39
7364,72,54,0
6421,72,58,13
8239,68,100,9
6659,79,64,2
3806,63,81,37
295,64,72,44
5105,66,65,17
1532,66,42,11
7081,68,60,3
4815,78,44,6
2387,77,42,63
2124,59,0,0
9369,75,41,72
2041,54,55,35
