准考證號,社會,自然
5220,87,30
4964,89,50
619,78,60
5679,96,79
419,74,62
8062,70,63
6057,100,72
3723,71,82
3777,91,53
3131,70,22
6379,85,49
3897,85,34
2450,69,76
7632,88,72
4388,87,24
7987,87,52
4051,86,31
4664,86,27
5489,75,62
2636,73,28
9322,87,81
8013,73,44
1966,82,52
9189,85,67
6013,87,72
7532,81,100
7511,76,67
9600,89,53
4588,99,95
6121,63,42
8418,80,100
6240,98,59
690,91,80
6,78,35
8153,92,84
5535,96,67
976,68,100
8560,69,85
1632,75,49
1855,70,45
1341,75,64
9842,72,62
1749,79,25
176,85,47
2034,86,65
9643,82,65
6544,69,49
8214,81,100
7161,76,50
6148,86,74
3281,92,69
3179,80,54
2084,92,81
1438,75,47
5123,92,48
7591,79,80
3893,84,97
139,82,38
1225,84,49
9586,74,80
3486,80,77
3347,75,31
2003,91,58
1905,77,56
6805,83,76
7595,83,58
9671,78,64
7656,83,65
1128,71,93
7130,86,95
9563,81,60
276,87,53
4556,70,62
8665,72,70
9036,92,41
9466,79,53
520,72,70
1635,76,35
7779,69,21
426,85,77
4166,79,48
1885,74,71
3263,77,43
2670,77,25
7896,71,58
8735,72,58
1234,80,79
2382,85,61
4880,82,71
4926,67,50
2968,87,84
9038,90,49
1290,80,91
7996,80,53
26,74,35
6578,96,69
4298,70,65
6688,79,56
4601,87,61
9714,75,77
8345,67,78
2924,87,71
7758,81,50
1659,84,47
2696,78,87
6429,70,56
3008,71,34
9058,72,99
6624,78,40
3643,65,78
6836,80,64
2452,74,42
5115,87,30
3557,86,74
5875,85,59
8899,80,71
6476,85,63
1979,91,34
8844,93,52
4224,86,56
2850,88,54
640,86,74
4275,67,89
9421,77,46
5420,81,52
4931,65,99
6934,84,57
1216,69,90
179,73,44
5243,94,35
34,73,83
3443,93,35
2690,79,41
7938,87,95
8527,80,63
8258,80,64
1487,82,49
9503,93,34
6007,75,59
4518,78,45
8934,75,52
3433,85,93
6876,78,99
3165,75,35
4797,73,74
8782,80,81
9559,79,47
3927,78,51
2012,78,63
2642,67,74
4770,73,51
1835,64,43
8490,65,100
383,74,76
1476,83,51
5158,72,80
547,74,98
7166,84,79
7187,97,45
2543,85,59
9639,74,55
7621,79,59
6882,72,87
7497,84,46
50,78,86
2448,74,38
6951,92,35
1462,71,43
9509,88,99
193,80,41
5341,82,52
4961,95,68
2916,88,43
2270,81,73
5098,84,55
9330,94,82
1908,82,49
977,83,65
8398,87,95
3175,68,57
8087,77,12
1701,71,50
5774,82,40
6261,78,66
4597,66,36
3509,81,61
9273,73,46
1712,90,79
1941,60,33
5608,79,47
8272,89,65
6295,54,40
473,79,52
1132,79,35
941,83,69
2287,79,57
4100,69,55
9647,75,98
3101,80,14
5273,77,65
8226,77,41
8943,90,52
9899,83,84
3349,77,50
9020,74,54
5985,84,80
8531,79,56
7691,85,52
406,66,77
4441,74,95
7478,100,50
1563,75,60
733,95,81
5705,73,84
3542,65,65
6229,69,44
6977,79,69
9551,63,23
324,83,95
9115,78,100
1097,89,48
7946,92,80
6069,82,34
6053,68,48
6475,78,62
5041,86,50
6151,86,69
2486,90,40
1396,66,55
746,74,44
3844,78,87
6354,66,38
8644,89,71
4453,79,73
4484,79,78
1424,88,71
5237,82,58
8332,89,88
4725,78,72
2143,100,96
9572,77,27
3081,73,45
6173,81,79
5470,74,52
9895,81,63
7490,94,36
7178,91,77
6782,67,94
4623,67,91
6869,77,53
9967,83,62
1381,83,78
2210,83,60
2653,76,74
8931,74,37
9398,89,62
9596,83,74
1679,75,58
162,69,35
915,83,43
7663,88,67
3917,75,65
8137,90,79
6592,89,69
7730,53,76
5789,59,70
9191,80,52
4509,85,86
4647,80,67
9732,67,100
7629,87,95
5892,80,58
3447,75,68
9686,82,18
8438,59,65
8183,82,37
9916,77,57
5300,87,80
4128,82,53
4302,82,62
4281,77,56
1716,67,75
2821,69,72
3787,77,52
3617,84,46
8164,93,84
1332,94,43
5003,68,63
4832,76,47
2527,78,68
3138,70,77
8830,84,62
6767,78,40
9211,67,31
3019,82,75
1518,91,36
7823,83,27
4036,84,62
7491,80,79
1753,83,75
1186,84,72
6535,69,56
3537,77,72
3340,88,74
9519,70,48
8414,81,43
5382,83,95
6120,77,38
4118,85,77
5856,70,15
8738,81,34
8376,100,60
8174,57,56
8254,87,100
3243,86,35
3775,73,34
3151,85,40
5710,82,49
1440,75,72
8441,88,87
9999,64,56
8471,89,49
5990,76,50
2849,88,100
3846,87,85
3387,81,95
6198,79,77
4524,92,2
7314,81,32
9746,69,73
1285,78,45
1145,60,10
3098,73,93
2506,67,62
7555,67,44
1692,78,49
5002,72,56
8257,66,83
9544,75,59
7056,81,33
7417,86,21
7563,86,70
7751,90,47
5756,80,59
8596,78,69
4836,70,40
5655,86,80
3796,92,45
3048,69,80
3966,69,84
4959,69,54
2263,70,90
6721,69,72
6652,87,100
7282,96,27
1672,63,51
9969,88,86
3811,85,70
4780,78,73
5010,71,45
2469,78,31
3399,80,70
3006,97,81
4709,74,51
2341,84,57
5862,75,57
4462,64,78
5180,73,54
5992,79,66
8726,82,74
8636,77,32
4822,89,75
469,75,29
1922,71,72
8887,77,50
589,69,66
8705,85,75
9957,92,73
8457,86,64
2747,76,40
6211,87,80
6742,71,66
2308,69,6
5698,69,41
521,74,4
5750,93,86
8399,84,43
7173,83,55
8624,71,54
9132,84,61
3197,80,61
3873,100,51
816,91,83
6141,79,74
7140,81,31
9479,85,13
726,83,61
4661,77,44
1911,71,70
2031,89,37
5820,85,49
8946,69,62
1579,74,43
6026,97,42
4708,76,63
2113,83,64
256,86,66
4343,84,75
2959,81,30
1771,90,86
9928,78,58
1205,75,75
8809,82,44
5049,75,62
6396,80,78
8986,78,99
304,78,82
4892,82,80
4565,75,38
298,81,48
2279,77,66
7698,85,99
2678,82,88
1649,88,65
9961,68,87
8607,77,33
5675,73,78
3288,77,55
4974,91,69
4454,86,60
9289,80,67
709,89,100
6499,81,73
9848,94,37
4376,72,37
1918,68,64
800,67,100
4571,67,90
4378,83,56
8552,69,78
6446,83,52
643,83,52
8500,72,50
9511,100,49
1111,75,76
1493,81,65
3262,91,83
9243,84,69
6758,83,38
6789,88,47
8359,71,77
1254,82,52
4377,72,78
4190,74,23
729,66,52
3024,80,81
8632,84,47
4327,78,49
6565,81,70
788,74,55
4610,85,61
1654,67,70
5516,77,41
6854,75,72
2032,74,61
7572,91,68
9061,92,87
2862,100,59
3017,74,43
2568,76,48
4972,98,73
7978,98,19
9143,74,37
4102,87,15
3910,94,53
510,74,61
2174,81,82
9148,71,48
7719,77,69
7073,80,76
3096,77,75
3434,79,60
4090,100,43
6730,82,64
8896,90,35
9683,73,67
2988,74,40
7638,78,68
4411,77,62
2241,77,61
7786,79,56
9462,76,61
1713,81,21
3929,76,62
6001,66,45
3500,86,85
732,73,56
6433,87,67
5290,77,56
5829,90,66
1191,87,77
6098,83,64
9096,88,75
3919,80,61
6993,90,57
5886,77,65
6095,53,69
9349,71,75
3339,65,96
8647,82,28
6428,78,39
5259,69,56
5175,86,82
8686,74,45
4180,79,77
4757,77,50
641,75,84
1845,80,86
1410,81,78
2136,78,75
9754,87,75
6207,95,79
315,91,52
7899,72,81
4202,85,78
8554,92,61
4098,76,78
5168,88,71
3644,81,38
6039,77,98
2283,91,62
6289,74,45
4607,87,71
30,69,66
7700,74,59
2481,87,53
2570,84,45
8564,79,39
6288,82,39
2713,86,32
4908,76,43
3169,67,87
9179,73,33
2898,99,44
8530,88,61
7263,66,77
6921,68,61
5430,78,81
4523,83,40
997,77,26
1197,80,79
578,67,31
646,87,92
9908,90,82
6138,82,50
8963,80,80
3348,95,69
2590,76,51
3216,79,56
8380,84,54
5028,75,62
1500,92,92
192,78,55
3784,91,35
875,79,42
9974,76,50
6571,83,68
6027,87,59
4536,90,62
7684,85,77
6507,72,42
2798,79,64
3836,81,70
1745,83,62
8428,77,45
8372,80,62
5313,100,59
7789,68,69
6526,68,69
5587,70,88
9943,64,50
4270,69,48
6051,71,58
1608,86,36
3021,83,38
4046,69,47
2582,86,52
4241,80,71
2147,84,41
6874,81,34
9340,78,36
3725,88,56
6312,91,63
819,78,40
8431,78,49
5215,73,48
1151,77,85
2860,88,36
5250,72,46
6985,72,60
8037,95,88
6142,69,59
9286,89,71
1538,78,89
9788,81,41
2681,96,53
7570,83,50
2897,90,53
4404,72,59
9494,82,73
5814,64,58
8828,94,67
9737,87,60
9239,82,25
5590,82,63
6637,73,50
2293,64,71
5642,97,46
1520,82,57
6687,89,48
7377,84,64
9907,74,35
9296,86,100
2686,64,66
9125,75,51
5881,74,49
6085,92,64
6808,80,76
8076,76,69
4720,77,63
1789,64,57
2662,74,70
6107,74,55
4399,72,39
4819,73,67
1655,72,71
6548,82,49
3754,77,74
8093,80,65
766,85,72
6010,87,52
3108,82,71
7354,95,29
6343,82,37
1317,81,50
2909,87,67
5012,67,42
1247,90,70
699,80,85
6692,75,58
4469,74,42
1986,73,65
5629,75,64
6738,70,88
5778,85,62
1501,85,54
5525,78,25
1393,69,61
6469,87,40
7239,71,57
8443,86,54
8720,86,44
9648,82,73
5325,83,79
2518,64,26
3800,73,54
7421,74,65
8764,82,50
6454,89,23
5613,80,49
4177,83,36
6628,67,92
293,69,36
5354,80,75
2758,72,60
2576,75,36
1936,82,51
8806,64,22
3365,92,44
101,70,100
8808,77,56
2347,69,76
6212,80,43
2340,86,61
3973,82,66
5527,74,67
4058,89,82
7418,69,95
1073,87,77
570,83,74
6045,81,12
9124,78,79
205,82,18
9704,78,75
6700,84,56
376,100,66
8779,79,16
6456,79,68
8613,84,58
5884,85,47
3358,72,56
778,80,45
3908,69,41
8005,85,62
370,86,52
8227,72,100
262,85,46
8404,77,50
6081,77,50
6251,70,29
8179,82,37
6444,81,83
1963,88,50
2069,75,47
9765,78,69
6064,71,68
48,71,65
6092,82,66
1141,77,61
4495,92,66
6242,63,60
7492,80,53
1902,67,51
1606,68,67
1250,75,34
2053,70,65
7274,84,49
7615,64,37
7808,76,49
1218,74,67
6118,88,58
339,97,83
790,78,43
3823,77,50
850,82,61
3292,68,85
7129,87,64
9995,75,63
1494,91,20
8588,80,49
6152,76,46
9275,79,87
7930,79,64
166,92,35
5249,78,93
5197,77,51
3084,82,78
8171,76,56
322,83,67
7816,80,21
4167,82,85
6275,82,53
9820,93,31
8055,55,76
4679,77,70
9785,75,48
2388,71,65
4956,80,32
3491,91,34
3331,83,68
2939,75,78
5092,82,53
2621,87,75
2928,85,51
9440,76,35
3842,75,69
7575,77,89
1859,88,81
7087,85,37
1637,80,57
3256,75,28
8867,81,65
238,64,73
5473,83,62
8041,87,44
3534,75,58
1004,80,38
5560,87,93
6534,96,69
3210,75,70
8778,84,79
6990,83,83
3757,79,60
9870,74,60
3935,90,56
6911,73,71
8307,75,76
9780,87,47
7654,66,62
2368,81,44
6801,95,44
3383,75,52
1519,75,62
846,89,80
2108,69,31
9868,68,56
1522,77,76
1924,80,52
5437,70,35
7248,76,74
4764,81,72
1562,72,64
7385,81,61
872,88,67
4293,76,53
9173,86,86
1096,85,39
390,90,42
2488,78,66
5032,71,86
8879,80,81
4869,96,66
3000,62,60
8539,84,88
3405,70,72
2430,73,41
6654,81,51
8198,76,77
85,68,27
9982,74,56
4487,80,61
9224,78,55
1165,89,58
7408,84,67
149,73,73
1961,72,39
8293,71,51
9044,78,57
8388,80,78
4743,90,75
9832,69,76
2085,83,59
8871,83,56
9782,80,60
4168,88,73
7422,80,74
3807,72,62
1080,72,60
32,90,56
7813,84,56
2540,89,59
6165,84,57
4375,86,51
5246,86,67
9968,72,66
2651,79,50
333,75,72
2014,86,35
889,63,47
6640,91,68
4384,82,96
485,79,72
5234,85,48
7999,72,91
1776,83,36
4000,90,56
5858,71,83
4485,78,49
2652,80,66
6823,74,73
9841,73,43
8110,89,80
6723,77,44
7941,74,52
7039,100,57
5408,89,33
5276,86,63
9534,77,59
8300,66,79
5061,80,50
6223,87,41
7232,99,47
340,92,51
8813,81,74
3077,74,60
5576,64,66
6899,76,100
6511,81,47
4837,78,94
8653,80,50
6094,85,39
8499,97,67
3547,74,50
6609,80,57
1362,80,90
5072,70,53
3172,91,31
8243,74,50
3142,93,77
4792,81,84
3056,77,26
1758,88,53
5781,82,14
5399,82,94
9190,81,84
6333,58,28
5585,86,56
8875,85,71
2846,75,27
5896,76,72
937,71,68
8787,66,37
4776,81,50
1012,79,64
8295,86,63
5429,77,60
2948,74,50
2873,93,36
3662,85,50
1928,73,72
5328,86,75
2840,70,47
5370,82,73
1959,78,18
7952,77,61
4906,86,99
1286,72,66
4246,78,53
7928,83,82
8678,68,76
2656,70,57
6201,74,70
1798,74,89
1407,79,71
7548,81,78
6390,76,67
9506,64,31
400,82,71
9593,77,34
9594,86,59
4074,83,38
2851,81,89
4252,81,79
1112,74,67
4143,76,54
934,71,78
1040,85,68
1166,78,32
1693,74,46
2574,73,61
4401,82,72
607,67,85
2845,77,15
7470,77,46
9339,100,58
8802,88,85
8234,82,21
2047,78,57
2605,84,35
6562,75,90
478,87,97
731,81,74
6581,80,76
2457,72,100
9552,80,38
861,83,84
9328,69,70
4975,84,64
2346,86,68
1796,67,51
2493,84,69
7389,68,76
6302,73,29
2336,90,59
2575,79,73
8508,82,96
2757,83,61
4800,69,74
6602,90,79
4424,75,73
3862,77,32
4735,90,67
6374,72,81
2915,68,59
2483,89,35
2207,73,22
231,85,49
287,69,82
7287,73,49
7414,86,51
3277,83,38
2967,100,67
4971,77,71
5202,79,56
1888,74,51
9674,81,49
532,74,36
4006,76,89
4930,71,77
1018,76,59
2502,83,100
9085,84,65
4042,81,45
6054,74,19
1339,69,88
6395,73,67
891,66,44
7053,84,46
6564,73,53
7694,84,38
4755,85,82
6426,74,94
4510,73,54
4209,80,63
1185,79,46
8439,83,58
4829,65,47
7145,88,63
2949,79,71
5730,88,54
8551,86,100
6493,73,63
5483,68,68
1513,84,43
437,77,90
9922,75,33
8034,73,79
5088,72,57
8977,81,64
5487,80,72
8691,72,46
9597,75,79
7315,88,78
4322,88,89
4015,76,43
6679,92,32
7278,84,30
8870,80,68
5506,77,64
5946,72,100
1087,80,62
5006,99,59
8685,78,80
3422,75,79
2005,81,56
8662,83,83
3544,92,74
975,80,46
9153,89,100
1366,62,84
554,76,82
1861,89,53
3558,78,29
300,81,38
8223,82,88
3916,85,71
9213,74,71
1142,72,46
836,67,69
9048,93,82
9460,87,71
8357,81,44
8100,84,53
8944,77,66
9326,70,82
9822,72,76
8842,74,58
2542,80,51
9588,83,100
7235,68,100
9902,81,73
4905,77,69
314,83,56
2710,86,69
4812,80,81
6656,89,44
5986,78,60
8417,72,75
541,72,44
1102,91,43
3567,77,57
5522,76,58
9265,77,35
3233,80,89
4608,93,61
268,84,54
7640,69,57
9320,74,56
9818,73,59
79,75,46
4885,79,58
7394,78,70
4875,92,44
4505,78,41
1313,80,69
229,81,74
8976,78,66
4162,80,98
2969,81,56
3789,81,90
5146,89,93
8712,76,57
9374,84,65
2692,83,60
8971,95,85
9557,64,58
8710,79,100
3884,76,56
3122,77,77
6813,73,70
2489,72,66
5395,81,53
2597,66,73
3764,81,66
1204,74,78
6393,79,63
7515,70,89
792,73,76
143,87,43
8770,85,77
6999,88,20
2822,83,39
4567,78,79
7434,68,35
8700,80,64
9685,75,51
5228,67,44
3052,67,36
8750,78,66
4581,76,79
3431,82,82
9707,75,15
8212,73,62
6793,85,68
3419,69,66
2150,83,42
8502,83,77
8654,79,62
2459,86,37
704,63,90
6716,87,76
566,81,45
9457,78,31
4288,90,79
9892,94,18
1543,83,54
3753,67,22
9436,77,74
5665,86,44
1400,87,81
1031,86,47
3536,95,46
2805,73,53
2413,81,58
6203,91,59
6781,57,80
3773,66,77
1591,77,42
7276,72,49
7947,79,69
3686,92,100
6769,93,29
2201,84,47
1785,84,0
7224,84,49
7227,80,50
7208,86,10
6417,84,66
644,88,62
3645,84,62
4996,88,50
5322,80,95
6403,68,70
8328,80,92
1315,77,42
7845,76,74
5615,79,65
4002,85,32
4881,73,56
4668,83,68
1457,63,67
9363,89,28
9311,86,72
6589,90,72
2876,82,68
4960,87,73
7826,88,51
7932,70,82
1075,94,85
3325,76,41
4183,87,78
2910,74,44
7948,72,40
3667,82,64
3592,77,34
4990,79,52
5388,82,69
4619,73,82
4488,84,63
9145,79,58
2252,87,59
1222,88,42
2564,76,85
5821,73,79
3615,78,48
4563,66,50
4467,85,31
1880,69,53
7252,87,55
5449,81,53
5564,82,53
7350,88,70
1582,77,52
612,77,71
8616,67,36
4612,68,57
7986,84,64
6072,89,60
3126,82,90
1398,81,50
799,70,77
8074,90,78
9998,74,51
4331,83,80
5274,89,59
274,92,64
8286,86,42
8580,71,57
5446,71,49
6349,86,70
4048,66,100
5975,83,59
9779,76,41
585,80,95
8015,78,61
7592,85,61
3178,80,49
2763,71,71
5066,80,49
2111,96,46
9452,81,79
4924,85,42
1420,91,46
7047,74,100
2589,82,74
3524,81,92
6188,77,60
9530,92,76
5251,78,65
88,96,71
9662,74,34
2276,81,62
7985,89,100
6924,77,57
1983,91,49
3717,76,64
4739,71,73
1399,73,63
5926,68,49
9629,100,69
9291,81,85
3920,81,67
3496,82,74
5338,82,54
8763,62,60
4704,87,29
5239,74,33
6221,78,37
1793,72,45
8648,85,58
5540,86,84
9034,82,66
905,76,36
7057,80,67
8561,87,96
865,83,60
5545,94,61
5910,82,50
5876,80,53
4059,74,34
1634,71,53
5347,87,50
3604,84,77
7701,64,39
8568,88,48
8718,86,63
5956,78,72
1766,69,75
5676,77,81
3621,82,70
9306,73,51
4750,84,25
3251,80,54
3722,69,49
2887,80,44
1913,72,78
8753,90,85
2169,78,52
3240,76,88
7299,84,32
967,80,60
2389,92,84
8966,75,46
8630,83,68
8449,75,61
5894,80,10
1630,77,49
677,90,82
7022,69,58
91,73,84
8392,85,59
7396,78,43
7626,65,50
8419,84,58
5753,82,57
7096,91,76
1361,86,57
3710,78,76
6733,67,65
8043,76,49
9377,81,47
1774,87,69
2449,84,76
4420,76,54
1115,71,22
5738,70,35
1812,90,64
7200,91,89
6224,63,24
862,79,66
5482,94,100
4033,77,81
3490,74,84
3685,84,52
2734,85,43
6859,80,71
6082,81,74
1161,76,99
1297,84,56
1124,83,83
4136,75,53
8324,85,70
8775,66,94
7028,89,82
6480,80,61
440,82,32
4989,82,79
4825,79,40
9550,86,33
3541,73,38
2407,78,50
5171,83,100
4057,78,32
9323,85,49
1450,76,18
6830,86,42
4276,85,100
7939,74,31
2321,85,41
2425,73,86
4929,89,46
4606,79,81
6245,82,82
5229,78,80
673,77,31
1743,79,57
8238,79,90
5515,79,62
6925,73,56
1193,87,81
3359,88,53
2434,89,62
1669,62,77
994,73,61
3149,75,46
4760,60,88
5451,83,62
4434,89,89
6952,90,29
93,74,58
7384,79,45
2477,67,54
3027,93,8
5940,76,57
4271,74,91
2439,80,43
8834,78,84
29,69,77
2907,72,45
9799,70,56
4478,71,29
2025,81,38
344,90,80
8,69,73
8279,69,100
5491,85,39
9566,84,54
6496,70,58
7302,84,62
8049,71,64
3785,57,35
4925,73,28
237,74,56
9395,68,46
9698,76,64
78,87,20
825,74,87
6967,75,72
5799,87,100
1327,83,27
4988,75,63
4692,91,65
7800,76,46
1423,78,65
9539,85,44
3677,79,44
9951,74,50
8467,81,50
1078,72,30
2037,76,33
4968,70,63
4184,93,53
6320,72,84
9249,89,83
3370,89,62
6557,91,31
1486,69,65
55,77,77
9007,84,54
4363,78,52
4116,82,79
3988,79,58
9140,80,62
3087,78,84
6832,92,64
727,80,65
4282,84,68
2451,83,24
4586,79,46
3794,82,53
1023,72,39
6892,93,81
737,76,65
6468,79,75
4039,73,47
647,96,86
4659,88,100
15,78,35
711,72,64
595,82,46
3235,76,76
9353,69,58
7494,76,73
7882,88,74
5554,71,46
2354,78,53
5614,91,56
8609,82,36
6573,79,29
7953,78,69
8186,86,67
5868,99,83
271,87,55
7607,77,42
1554,72,39
2393,79,59
197,89,50
2182,87,57
1515,79,40
4826,96,41
512,82,57
9438,83,87
2272,78,42
7334,72,63
3696,66,81
4200,88,62
1946,100,87
7666,66,94
7503,91,47
5145,69,57
7811,76,69
8861,83,100
4879,57,65
4993,81,76
6432,89,51
1564,73,79
8219,78,67
7093,81,80
8999,91,68
8761,72,67
5434,82,8
8264,71,63
4070,83,65
3653,73,53
3010,79,62
2019,74,96
19,73,55
6587,79,85
227,92,80
8695,88,62
2631,71,55
1376,79,96
3319,90,77
8954,78,79
8468,72,58
44,77,95
2904,75,26
6824,64,42
4530,80,53
8169,89,44
5358,68,49
9185,65,100
3321,75,41
5982,77,58
7787,77,47
5080,91,26
9975,88,76
8032,79,83
3827,65,96
8484,86,61
1877,93,33
8623,70,64
9747,80,72
502,94,50
8101,70,72
1208,73,61
8481,76,84
8891,69,42
6935,89,100
4637,88,42
9259,94,41
6297,67,53
586,86,64
3043,86,67
5500,76,28
3748,66,39
9515,66,65
5372,75,58
3502,71,68
3872,76,77
4254,76,40
1566,85,67
2081,83,55
5056,74,92
6522,78,68
7169,79,53
8668,80,46
3363,75,65
4633,83,77
3985,74,63
9675,92,36
4104,69,66
807,71,71
2405,95,61
4865,95,50
2769,76,85
2468,78,53
6351,83,44
3778,72,31
9315,73,54
7275,91,79
7624,87,47
6776,70,53
7411,93,76
9010,81,47
7975,78,54
9337,78,74
4475,91,17
8886,68,59
482,93,50
6077,78,87
4205,77,24
206,85,49
9606,83,65
5102,87,86
7680,86,48
6168,66,70
3089,82,54
4348,80,60
3285,92,62
2694,62,40
1259,100,71
2885,71,20
40,77,42
5864,72,53
9016,88,29
9587,81,79
7195,79,69
892,69,85
